Company,Repository,Stars,Watchers,Language
google,google/material-design-icons,31983,31983,CSS
google,google/material-design-lite,28842,28842,HTML
google,google/protobuf,20987,20987,C++
google,google/guava,19760,19760,Java
google,google/web-starter-kit,17713,17713,HTML
google,google/iosched,15045,15045,Java
google,google/styleguide,11442,11442,HTML
google,google/leveldb,11319,11319,C++
google,google/deepdream,10634,10634,
google,google/gson,10543,10543,HTML
google,google/guetzli,10406,10406,C++
google,google/fonts,9716,9716,HTML
google,google/flexbox-layout,9666,9666,Kotlin
google,google/xi-editor,8580,8580,Rust
google,google/flatbuffers,8412,8412,C++
google,google/ExoPlayer,8151,8151,Java
google,google/grumpy,8128,8128,Go
google,google/WebFundamentals,7909,7909,HTML
google,google/traceur-compiler,7453,7453,JavaScript
google,google/python-fire,6921,6921,Python
google,google/agera,6828,6828,Java
google,google/googletest,6349,6349,C++
google,google/cadvisor,6332,6332,Go
google,google/physical-web,5968,5968,Java
google,google/guice,5800,5800,Java
google,google/auto,5755,5755,Java
google,google/yapf,5718,5718,Python
google,google/lovefield,5648,5648,JavaScript
google,google/google-api-nodejs-client,5619,5619,TypeScript
google,google/brotli,5151,5151,C
google,google/j2objc,4928,4928,Java
google,google/google-api-php-client,4682,4682,PHP
google,google/seesaw,4380,4380,Go
google,google/android-classyshark,4177,4177,Java
google,google/gumbo-parser,4132,4132,HTML
google,google/EarlGrey,3899,3899,Objective-C
google,google/gxui,3879,3879,Go
google,google/blockly,3836,3836,JavaScript
google,google/closure-compiler,3666,3666,Java
google,google/git-appraise,3619,3619,Go
google,google/end-to-end,3561,3561,JavaScript
google,google/tamperchrome,3182,3182,JavaScript
google,google/code-prettify,3177,3177,JavaScript
google,google/ios-webkit-debug-proxy,3127,3127,C
google,google/error-prone,3072,3072,Java
google,google/lmctfy,3067,3067,C++
google,google/liquidfun,3056,3056,C++
google,google/go-github,2977,2977,Go
google,google/roboto,2898,2898,Python
google,google/battery-historian,2884,2884,Go
google,google/seq2seq,2828,2828,Python
google,google/incremental-dom,2746,2746,JavaScript
google,google/google-authenticator,2549,2549,Java
google,google/eddystone,2529,2529,C
google,google/cameraview,2511,2511,Java
google,google/grafika,2505,2505,Java
google,google/tracing-framework,2438,2438,JavaScript
google,google/closure-library,2411,2411,JavaScript
google,google/grr,2344,2344,Python
google,google/snappy,2268,2268,C++
google,google/binnavi,2248,2248,Java
google,google/nogotofail,2184,2184,Python
google,google/hover,2165,2165,Java
google,google/oss-fuzz,2129,2129,Shell
google,google/re2,2122,2122,C++
google,google/or-tools,2014,2014,C++
google,google/enjarify,2011,2011,Python
google,google/zopfli,1977,1977,C++
google,google/benchmark,1950,1950,C++
google,google/gops,1909,1909,Go
google,google/sanitizers,1831,1831,Python
google,google/google-api-python-client,1814,1814,Python
google,google/wycheproof,1769,1769,Java
google,google/lisp-koans,1766,1766,Common Lisp
google,google/santa,1743,1743,Objective-C
google,google/draco,1741,1741,C++
google,google/bbr,1739,1739,
google,google/skia,1708,1708,C++
google,google/google-api-ruby-client,1691,1691,Ruby
google,google/glog,1683,1683,C++
google,google/recaptcha,1669,1669,PHP
google,google/tiger,1654,1654,Java
google,google/shaka-player,1618,1618,JavaScript
google,google/gopacket,1517,1517,Go
google,google/closure-compiler-js,1487,1487,JavaScript
google,google/pyringe,1418,1418,Python
google,google/netstack,1405,1405,Go
google,google/google-java-format,1352,1352,Java
google,google/novm,1326,1326,Go
google,google/jimfs,1310,1310,Java
google,google/ion,1296,1296,C++
google,google/earthenterprise,1266,1266,JavaScript
google,google/syzkaller,1237,1237,Go
google,google/bloaty,1205,1205,C++
google,google/butteraugli,1201,1201,C++
google,google/truth,1180,1180,Java
google,google/keytransparency,1174,1174,Go
google,google/google-api-go-client,1163,1163,Go
google,google/codesearch,1142,1142,Go
google,google/santa-tracker-android,1114,1114,Java
google,google/prettytensor,1083,1083,Python
google,google/stenographer,1046,1046,Go
google,google/android-ui-toolkit-demos,1043,1043,Java
google,google/volley,962,962,Java
google,google/rekall,956,956,Python
google,google/jsonnet,952,952,C++
google,google/nomulus,948,948,Java
google,google/btree,940,940,Go
google,google/mtail,929,929,Go
google,google/open-location-code,928,928,JavaScript
google,google/glazier,924,924,Python
google,google/keyczar,921,921,HTML
google,google/google-apps-script-samples,888,888,JavaScript
google,google/honggfuzz,874,874,C
