Company,Repository,Stars,Watchers,Language
microsoft,Microsoft/vscode,36524,36524,TypeScript
microsoft,Microsoft/TypeScript,27178,27178,TypeScript
microsoft,Microsoft/CNTK,12826,12826,C++
microsoft,Microsoft/dotnet,8783,8783,HTML
microsoft,Microsoft/api-guidelines,7060,7060,
microsoft,Microsoft/ChakraCore,6491,6491,JavaScript
microsoft,Microsoft/napajs,6212,6212,C++
microsoft,Microsoft/monaco-editor,6166,6166,JavaScript
microsoft,Microsoft/WinObjC,5758,5758,Objective-C++
microsoft,Microsoft/reactxp,5413,5413,TypeScript
microsoft,Microsoft/WSL,5376,5376,
microsoft,Microsoft/Windows-universal-samples,5079,5079,JavaScript
microsoft,Microsoft/vscode-tips-and-tricks,4949,4949,
microsoft,Microsoft/BotBuilder,4501,4501,C#
microsoft,Microsoft/LightGBM,3987,3987,C++
microsoft,Microsoft/GVFS,3720,3720,C#
microsoft,Microsoft/react-native-code-push,3620,3620,Objective-C
microsoft,Microsoft/AirSim,3205,3205,C++
microsoft,Microsoft/msbuild,3202,3202,C#
microsoft,Microsoft/code-push,3055,3055,TypeScript
microsoft,Microsoft/TypeScript-React-Starter,3037,3037,TypeScript
microsoft,Microsoft/react-native-windows,2989,2989,C#
microsoft,Microsoft/vscode-go,2928,2928,TypeScript
microsoft,Microsoft/malmo,2626,2626,Java
microsoft,Microsoft/GSL,2340,2340,C++
microsoft,Microsoft/DMTK,2278,2278,
microsoft,Microsoft/cpprestsdk,2064,2064,C++
microsoft,Microsoft/VisualStudioUninstaller,2056,2056,C#
microsoft,Microsoft/TypeScriptSamples,2038,2038,TypeScript
microsoft,Microsoft/language-server-protocol,1972,1972,
microsoft,Microsoft/PTVS,1786,1786,C#
microsoft,Microsoft/nodejs-guidelines,1781,1781,
microsoft,Microsoft/Windows-driver-samples,1678,1678,C
microsoft,Microsoft/UWPCommunityToolkit,1663,1663,C#
microsoft,Microsoft/bond,1639,1639,C++
microsoft,Microsoft/nodejstools,1611,1611,C#
microsoft,Microsoft/ELL,1589,1589,C++
microsoft,Microsoft/vcpkg,1388,1388,CMake
microsoft,Microsoft/referencesource,1361,1361,C#
microsoft,Microsoft/TouchDevelop,1339,1339,TypeScript
microsoft,Microsoft/GraphEngine,1288,1288,C#
microsoft,Microsoft/sql-server-samples,1284,1284,
microsoft,Microsoft/DirectX-Graphics-Samples,1237,1237,C++
microsoft,Microsoft/checkedc,1208,1208,C
microsoft,Microsoft/TypeScript-Sublime-Plugin,1200,1200,JavaScript
microsoft,Microsoft/vscode-react-native,1192,1192,TypeScript
microsoft,Microsoft/TypeScript-Handbook,1190,1190,JavaScript
microsoft,Microsoft/MixedRealityToolkit-Unity,1175,1175,C#
microsoft,Microsoft/visualfsharp,1145,1145,F#
microsoft,Microsoft/Pyjion,1127,1127,C++
microsoft,Microsoft/Git-Credential-Manager-for-Windows,1103,1103,C#
microsoft,Microsoft/microsoft.github.io,1081,1081,HTML
microsoft,Microsoft/HoloJS,1040,1040,JavaScript
microsoft,Microsoft/TypeScript-Vue-Starter,1016,1016,JavaScript
microsoft,Microsoft/ProjectOxford-ClientSDK,993,993,Jupyter Notebook
microsoft,Microsoft/Win2D,984,984,C++
microsoft,Microsoft/microsoft-pdb,927,927,C++
microsoft,Microsoft/WPF-Samples,883,883,C#
microsoft,Microsoft/BotBuilder-Samples,874,874,C#
microsoft,Microsoft/vscode-chrome-debug,834,834,TypeScript
microsoft,Microsoft/DirectXTK,832,832,C++
microsoft,Microsoft/GalaxyExplorer,774,774,C#
microsoft,Microsoft/Windows-Driver-Frameworks,773,773,C++
microsoft,Microsoft/WindowsTemplateStudio,762,762,C#
microsoft,Microsoft/TypeScript-Node-Starter,758,758,CSS
microsoft,Microsoft/ace,747,747,Objective-C++
microsoft,Microsoft/DirectXShaderCompiler,712,712,C++
microsoft,Microsoft/msphpsql,709,709,PHP
microsoft,Microsoft/CodeContracts,699,699,C#
microsoft,Microsoft/vsts-tasks,695,695,TypeScript
microsoft,Microsoft/VS-PPT,690,690,C#
microsoft,Microsoft/rDSN,690,690,C++
microsoft,Microsoft/xaml-standard,680,680,
microsoft,Microsoft/perfview,675,675,C#
microsoft,Microsoft/Mobius,670,670,C#
microsoft,Microsoft/cppwinrt,616,616,C++
microsoft,Microsoft/PowerBI-visuals-core,610,610,JavaScript
microsoft,Microsoft/WindowsUIDevLabs,610,610,C#
microsoft,Microsoft/vscode-docs,604,604,JavaScript
microsoft,Microsoft/FFmpegInterop,579,579,C++
microsoft,Microsoft/Multiverso,570,570,C++
microsoft,Microsoft/aspnet-api-versioning,564,564,C#
microsoft,Microsoft/dafny,558,558,C#
microsoft,Microsoft/dotnet-samples,552,552,C#
microsoft,Microsoft/automatic-graph-layout,545,545,JavaScript
microsoft,Microsoft/IEDiagnosticsAdapter,537,537,C++
microsoft,Microsoft/Microsoft.IO.RecyclableMemoryStream,522,522,C#
microsoft,Microsoft/LightLDA,490,490,C++
microsoft,Microsoft/Windows-classic-samples,490,490,
microsoft,Microsoft/TechnicalCommunityContent,485,485,HTML
microsoft,Microsoft/VSSDK-Extensibility-Samples,481,481,C#
microsoft,Microsoft/vscode-recipes,476,476,TypeScript
microsoft,Microsoft/RoomAliveToolkit,467,467,C#
microsoft,Microsoft/tolerant-php-parser,466,466,PHP
microsoft,Microsoft/GraphView,444,444,C#
microsoft,Microsoft/dotnet-apiport,432,432,C#
microsoft,Microsoft/BotFramework-Emulator,428,428,TypeScript
microsoft,Microsoft/WinAppDriver,422,422,C#
microsoft,Microsoft/MixedRealityToolkit,414,414,HTML
microsoft,Microsoft/MIEngine,411,411,C#
microsoft,Microsoft/dts-gen,406,406,TypeScript
microsoft,Microsoft/ngconf2015demo,401,401,CSS
microsoft,Microsoft/angle,399,399,C++
microsoft,Microsoft/XamlBehaviors,399,399,C#
microsoft,Microsoft/mssql-jdbc,397,397,Java
microsoft,Microsoft/HealthClinic.biz,394,394,JavaScript
microsoft,Microsoft/Docker.DotNet,390,390,C#
microsoft,Microsoft/DirectXTex,386,386,C++
microsoft,Microsoft/vscode-cpptools,376,376,
microsoft,Microsoft/CSharpClient-for-Kafka,373,373,C#
microsoft,Microsoft/maker.js,372,372,JavaScript
microsoft,Microsoft/ReSub,367,367,TypeScript
microsoft,Microsoft/uwp-experiences,334,334,C#
microsoft,Microsoft/MSRC-Security-Research,329,329,
microsoft,Microsoft/vstest,328,328,C#
microsoft,Microsoft/ProjectOxford-Apps-MimickerAlarm,327,327,Java
microsoft,Microsoft/BikeSharing360_MobileApps,327,327,JavaScript
microsoft,Microsoft/PartsUnlimited,326,326,JavaScript
microsoft,Microsoft/PowerBI-visuals,321,321,HTML
microsoft,Microsoft/cordova-plugin-code-push,320,320,TypeScript
microsoft,Microsoft/RTVS,318,318,C#
microsoft,Microsoft/BotFramework-WebChat,308,308,TypeScript
microsoft,Microsoft/pxt,308,308,TypeScript
microsoft,Microsoft/vsts-agent,300,300,C#
microsoft,Microsoft/vscode-mssql,299,299,TypeScript
microsoft,Microsoft/Mesh-processing-library,294,294,C++
microsoft,Microsoft/SLAyer,293,293,OCaml
microsoft,Microsoft/cordova-samples,291,291,JavaScript
microsoft,Microsoft/tigertoolbox,289,289,PLpgSQL
microsoft,Microsoft/MixedRealityCompanionKit,285,285,C#
microsoft,Microsoft/redux-dag-history,284,284,TypeScript
microsoft,Microsoft/DirectXMath,282,282,C++
microsoft,Microsoft/thrifty,281,281,Java
microsoft,Microsoft/clrmd,274,274,C#
microsoft,Microsoft/generator-docker,261,261,JavaScript
microsoft,Microsoft/mssql-docker,257,257,PowerShell
microsoft,Microsoft/Appsample-Photosharing,256,256,C#
microsoft,Microsoft/JSanity,252,252,JavaScript
microsoft,Microsoft/pict,249,249,C++
microsoft,Microsoft/TypeScript-React-Native-Starter,249,249,TypeScript
microsoft,Microsoft/binskim,244,244,C#
microsoft,Microsoft/project-rome,243,243,C#
microsoft,Microsoft/UVAtlas,232,232,C++
microsoft,Microsoft/Docker-PowerShell,228,228,C#
microsoft,Microsoft/diskspd,227,227,C++
microsoft,Microsoft/Windows-appsample-rssreader,227,227,C#
microsoft,Microsoft/SQL-Server-R-Services-Samples,225,225,R
microsoft,Microsoft/vscode-arduino,225,225,TypeScript
microsoft,Microsoft/tslint-microsoft-contrib,223,223,TypeScript
microsoft,Microsoft/MRDesignLabs_Unity,223,223,C#
microsoft,Microsoft/PowerBI-CSharp,220,220,C#
microsoft,Microsoft/vscode-extension-samples,220,220,TypeScript
microsoft,Microsoft/console,214,214,
microsoft,Microsoft/Sora,208,208,C
microsoft,Microsoft/IIS.Administration,208,208,C#
microsoft,Microsoft/RoslynClrHeapAllocationAnalyzer,207,207,C#
microsoft,Microsoft/PowerBI-JavaScript,208,208,TypeScript
microsoft,Microsoft/Cognitive-Samples-IntelligentKiosk,205,205,C#
microsoft,Microsoft/EdgeML,200,200,C++
microsoft,Microsoft/FX11,200,200,C++
microsoft,Microsoft/DbgShell,194,194,C#
microsoft,Microsoft/PowerShell-DSC-for-Linux,192,192,C
microsoft,Microsoft/satcheljs,192,192,TypeScript
microsoft,Microsoft/typescript-styled-plugin,192,192,JavaScript
microsoft,Microsoft/DXUT,190,190,C++
microsoft,Microsoft/DirectXMesh,189,189,C++
microsoft,Microsoft/vswhere,186,186,C++
microsoft,Microsoft/HolographicAcademy,184,184,
microsoft,Microsoft/DirectXTK12,183,183,C++
microsoft,Microsoft/tfs-cli,183,183,TypeScript
microsoft,Microsoft/vscode-eslint,182,182,TypeScript
microsoft,Microsoft/TACO,180,180,
microsoft,Microsoft/vsminecraft,180,180,Java
microsoft,Microsoft/LLVMSharp,179,179,C#
microsoft,Microsoft/BotFramework-Samples,178,178,C#
microsoft,Microsoft/AzureUsageAndBillingPortal,166,166,JavaScript
microsoft,Microsoft/DesktopBridgeToUWP-Samples,163,163,
microsoft,Microsoft/AdaptiveCards,163,163,C++
microsoft,Microsoft/go-winio,162,162,Go
microsoft,Microsoft/ILMerge,161,161,C#
microsoft,Microsoft/winsdkfb,160,160,C++
microsoft,Microsoft/Tx,160,160,C#
microsoft,Microsoft/Chakra-Samples,158,158,HTML
microsoft,Microsoft/monaco-editor-samples,152,152,HTML
microsoft,Microsoft/fsharplu,150,150,F#
microsoft,Microsoft/VSProjectSystem,148,148,
microsoft,Microsoft/Windows-task-snippets,148,148,
microsoft,Microsoft/XamarinAzure_ShoppingDemoApp,148,148,C#
microsoft,Microsoft/clang,148,148,C++
microsoft,Microsoft/mattercenter,147,147,C#
microsoft,Microsoft/testfx,146,146,C#
microsoft,Microsoft/vsts-vscode,146,146,TypeScript
microsoft,Microsoft/tslib,146,146,TypeScript
microsoft,Microsoft/winstore-jscompat,145,145,JavaScript
microsoft,Microsoft/vscode-cordova,141,141,TypeScript
microsoft,Microsoft/ApplicationInsights-JS,141,141,TypeScript
microsoft,Microsoft/ApplicationInsights-aspnetcore,141,141,C#
microsoft,Microsoft/Ironclad,137,137,C#
microsoft,Microsoft/vscode-tslint,136,136,TypeScript
microsoft,Microsoft/WPFDXInterop,135,135,C++
microsoft,Microsoft/Yams,134,134,C#
microsoft,Microsoft/VSLua,132,132,C#
microsoft,Microsoft/checkedc-clang,129,129,C++
microsoft,Microsoft/DevSkim,128,128,C#
microsoft,Microsoft/vsts-extension-samples,128,128,TypeScript
microsoft,Microsoft/TypeScript-React-Conversion-Guide,128,128,TypeScript
microsoft,Microsoft/Git-Credential-Manager-for-Mac-and-Linux,128,128,Java
microsoft,Microsoft/distributed_word_embedding,126,126,C++
microsoft,Microsoft/vso-agent,125,125,TypeScript
microsoft,Microsoft/opensource-portal,124,124,JavaScript
microsoft,Microsoft/llvm,122,122,LLVM
microsoft,Microsoft/team-explorer-everywhere,120,120,Java
microsoft,Microsoft/Cognitive-Face-iOS,119,119,Objective-C
microsoft,Microsoft/vs-threading,119,119,C#
microsoft,Microsoft/ApplicationInsights-Home,119,119,PowerShell
microsoft,Microsoft/Win2D-Samples,118,118,C#
microsoft,Microsoft/VSLinux,118,118,
microsoft,Microsoft/cordova-simulate,117,117,HTML
microsoft,Microsoft/BuildCast,117,117,C#
microsoft,Microsoft/node-uwp,116,116,C++
microsoft,Microsoft/windows-framer-toolkit,116,116,CoffeeScript
microsoft,Microsoft/ApplicationInsights-dotnet,115,115,C#
microsoft,Microsoft/mail2bug,114,114,C#
microsoft,Microsoft/Localization,112,112,
microsoft,Microsoft/XmlNotepad,112,112,C#
microsoft,Microsoft/vscode-ios-web-debug,112,112,TypeScript
microsoft,Microsoft/vscode-languageserver-node,111,111,TypeScript
microsoft,Microsoft/Cognitive-Samples-VideoFrameAnalysis,111,111,C#
microsoft,Microsoft/krabsetw,111,111,C++
microsoft,Microsoft/vscode-node-debug,110,110,TypeScript
microsoft,Microsoft/TypeScript-WeChat-Starter,109,109,TypeScript
microsoft,Microsoft/vscode-samples,108,108,JavaScript
microsoft,Microsoft/AzureBot,107,107,JavaScript
microsoft,Microsoft/ClangSharp,107,107,C#
microsoft,Microsoft/OMS-Agent-for-Linux,107,107,Ruby
microsoft,Microsoft/web-build-tools,107,107,TypeScript
microsoft,Microsoft/graphics-driver-samples,106,106,C++
microsoft,Microsoft/types-publisher,106,106,TypeScript
microsoft,Microsoft/ApplicationInsights-node.js,106,106,TypeScript
microsoft,Microsoft/Windows-appsample-networkhelper,105,105,C#
microsoft,Microsoft/mwt-ds,105,105,JavaScript
microsoft,Microsoft/Windows-appsample-familynotes,105,105,C#
microsoft,Microsoft/AL,104,104,
microsoft,Microsoft/distributed_skipgram_mixture,104,104,C++
microsoft,Microsoft/extendvs,104,104,
microsoft,Microsoft/sql-xplat-cli,102,102,Python
microsoft,Microsoft/Windows-appsample-trafficapp,101,101,C#
microsoft,Microsoft/BikeSharing360_Websites,100,100,JavaScript
microsoft,Microsoft/Cognitive-LUIS-Windows,98,98,C#
microsoft,Microsoft/Windows-appsample-customers-orders-database,98,98,C#
microsoft,Microsoft/VS-Macros,96,96,C#
microsoft,Microsoft/WindowsDevicePortalWrapper,96,96,C#
microsoft,Microsoft/Cognitive-Face-Android,96,96,Java
microsoft,Microsoft/TypeSearch,95,95,TypeScript
microsoft,Microsoft/SDN,94,94,PowerShell
