files_repo_name,version
soberwp/models,"""php"":"">=7"
ClaudiuCreanga/magento2-product-stock-import-extension,"""php"":""~7"
bluora/laravel-slack,"""php"":"">=7"
RebelCodecom/bookings,"""php"":""^5.3.9|^7"
helios-api/php-helios-hpp-sdk,"""php"":""^5.6|^7"
gnugat/redaktilo,"""php"":""^5.3||^7"
HIXMAN/psr-container,"""php"":""~5.6|~7"
CodeCollab/I18n,"""php"":""^7"
martin-helmich/php-gridfs,"""php"":"">=7"
WyriHaximus/StaticMap,"""php"":""^7"
scr-be/arthur-doctrine-library,"""php"":"">=5.6.4,~5.6|~7"
spekulatius/GitPolicy,"""php"":""^5.4.37"
GravityMedia/Stream,"""php"":""^5.6||^7"
bisarca/bisarca,"""php"":""^7"
jjanvier/Sylius,"""php"":""^5.6|^7"
SlaxWeb/Router,"""php"":"">=7"
despark/kohana,"""php"":"">=5.3.7"
shapecode/twig-template-event-bundle,"""php"":""~5.5|~7"
aquafadas-com/phing-smartling,"""php"":"">=7"
mekras/Types,"""php"":""^5.5||^7"
accgit/css-compressor,"		""php"":"">=7"
dudemelo/pagseguro-php,"""php"":"">=7"
rbarros/group.php,"""php"":"">=5.3.7"
andrerom/ezplatform,"""php"":""~5.6|~7"
outeredge/edge-module,"""php"":"">=7"
PHPExif/php-exif-native,"""php"":""^5.6||^7"
vincentaubert/symfony,"""php"":""^7"
sumiyoshi/BokunoZE,"""php"":""^5.5||^7"
php-http/react-adapter,"""php"":""^5.5||^7"
hareku/laravel-follow,"""php"":"">=7"
Yapeal/yapeal-ng,"""php"":"">=7.0.0,<7"
monolyth-php/formulaic,"""php"":"">=7"
GreedyBytes/User,"""php"":""^7"
in3orn/Infomarket,"		""php"":"">=5.7"
onerciller/laravel-analytics,"""php"":""^7"
tedious/TedivmStashBundle,"""php"":""^5.4|^7"
TYPO3/class-alias-loader,"""php"":"">=5.3.7"
Ioni14/payzen-bundle,"""php"":"">=7"
teamreflex/DiscordPHP,"""php"":""^5.6|^7"
WyriHaximus/php-repository-template,"""php"":""^7"
GetFountain/fountain-teams,"""php"":"">=7"
crrio/maplestory-wiki,"""php"":"">=7"
galeaspablo/RankBundle,"""php"":"">=7"
theorx/doctrine-qbmocker,"""php"":""^5.4|^7"
fedeisas/lisphp,"""php"":""^7"
mroedel/corporate-homestead,"""php"":""^5.6||^7"
widoz/unprefix,"""php"":"">=7"
TheFoundryVisionmongers/Masonry,"""php"":""^5.5||^7"
ipunkt/fileproxy,"		""php"":"">=7"
krishnasrikanth/smvc-php7,"""php"":"">=7"
fgrosse/PHPASN1,"""php"":"">=7"
byCedric/Delegator,"""php"":"">=5.3.7"
scr-be/magick-bundle,"""php"":"">=5.6.4,~5.6|~7"
doctrine/migrations,"""php"":""^7"
raphaelstolt/construct,"""php"":""^5.4||^7"
cravelight/slim-starterkit,"""php"":""^7"
TypiCMS/Base,"""php"":"">=7"
acelaya/slim-container-sm,"""php"":""^5.5|^7"
mateusjatenee/laravel-breadcrumb,"""php"":"">=7"
fisharebest/lib-gedcom,"		""php"":""~7"
alcohol/semver,"""php"":""^5.3.2||^7"
albe/flow-development-collection,"""php"":""~7"
SocialiteProviders/Medium,"""php"":""^5.6||^7"
afrittella/back-project,"""php"":""~5.6|~7"
ricardofiorani/stfu-kanye,"""php"":""^5.5||^7"
Ninponix/PHPDualServer,"""php"":""^5.3.3||^7"
appbut/laravel-local,"""php"":""~5.6|~7"
sonata-project/SonataDoctrineORMAdminBundle,"""php"":""^5.3||^7"
morille/SonataUserBundle,"""php"":""^5.3||^7"
narrowspark/installer,"""php"":""^7"
r0n1k/yii2-imagewidget,"""php"":"">=7"
juanjomip/dependencia,"""php"":""~5.5|~7"
morrisonlevi/Ardent,"""php"":""^5.5||^7"
webmozart/json,"""php"":""^5.3.3|^7"
crossjoin/Json,"""php"":""^5.3.3||^7"
BrandNewCongress/website-redesign,"""php"":"">=7"
epfremmer/PHP-Weekly-Issue44,"""php"":"">=7"
neeckeloo/Recurly,"""php"":""^5.6||^7"
sumocoders/Framework,"""php"":""^7"
thephpleague/tactician-bundle,"""php"":"">=7"
src-run/vermicious-console-io-library,"""php"":""~7"
Rhincodon/laravel-letsads,"""php"":""^5.6|^7"
tzyganu/Magento2SampleModule,"""php"":""~5.6.0|7.0.2|~7"
orchestral/testbench-browser-kit,"""php"":"">=7"
foxou33/TayoConfig,"""php"":""^5.6||^7"
grizzlylab/mailer-bundle,"""php"":"">=7"
kodbruket/magento2-mondido,"""php"":""~5.5.0|~5.6.0|~7"
InCloudOut/toastr,"""php"":"">=7"
kenkataiwa/DoctrineFixturesModule,"""php"":""^5.6||^7"
danhunsaker/nanobox-provider-proxmox,"""php"":""^5.6||^7"
viktor-firus/typo3.pro-form,"""php"":"">=7"
Inxk/Magma,"""php"":""^5.6||^7"
laravel/lumen-framework,"""php"":"">=7"
mares29/laravel-google-recaptcha,"""php"":""~5.5|~7"
grelu/SymfoStart,"""php"":"">=7"
itmh/wsdl-types-resolver,"""php"":""^5.6||^7"
winnerpicker/instagram-sdk,"""php"":"">=7"
dharrya/php-omut,"		""php"":"">=5.4.7"
bartdc/forkcms,"""php"":""^5.5||^7"
racinmat/BoardManager,"		""php"":"">=5.3.7"
sulu/SuluCommunityBundle,"""php"":""^5.5||^7"
mrkirby153/KirBotPanel,"""php"":"">=7"
UnionOfRAD/lithium,"""php"":""^5.5.14||^7"
Matslom/mybb2,"		""php"":"">=7"
l8m/lol,"""php"":""^5.6||^7"
SyliusLabs/RabbitMqSimpleBusBundle,"""php"":""^7"
endelwar/spammer,"""php"":""^5.6|^7"
phpro/soap-client,"""php"":""^7"
gherkins/regexpbuilderphp,"""php"":""^7"
Lowlo/Sylius,"""php"":""^5.6|^7"
jpuck/avhost,"		""php"":""^7"
krausv/blog,"		""php"":"">=5.3.7"
dzubchik/webhooks,"""php"":""7"
darktec/router,"""php"":"">=7"
sndsgd/http,"""php"":"">=7"
middlewares/access-log,"""php"":""^5.6||^7"
sweiguny/PHP-Persistence-API,"""php"":"">=7"
apioo/fusio,"""php"":"">=7"
crysalead/storage-stream,"""php"":"">=7"
vaniocz/stdlib,"""php"":"">=7"
refinery29/php-cs-fixer-config,"""php"":""^5.6||^7"
RalfEggert/zend-expressive-tutorial,"""php"":""^5.5||^7"
peter-gribanov/SonataAdminBundle,"""php"":""^5.3||^7"
guillermoandrae/date-php,"""php"":""~5.5||~7"
renan/doctrine2,"""php"":""^5.6||^7"
Innmind/API,"""php"":""~7"
reinecolette/reinecolette,"""php"":"">=7"
LinioIT/database,"""php"":"">=7"
dominionenterprises/cronus,"""php"":""~5.6||~7"
drago-ex/database,"		""php"":"">=7"
opis/http,"""php"":"">=7"
phlib/mail,"""php"":""^5.6|^7"
puli/url-generator,"""php"":""^5.3.9|^7"
vaadah/commentable,"""php"":""^5.6||^7"
alphadevx/alpha,"""php"":"">=7"
zortje/mvc,"""php"":"">=7"
Orbitale/EasyImpressBundle,"""php"":""^5.5|^7"
zendframework/zend-stratigility,"""php"":""^5.6||^7"
dolejska-daniel/riot-api,"		""php"":""^7"
dave-redfern/laravel-doctrine-entity-audit,"""php"":"">=7"
cedx/json-messages.yii,"""php"":"">=7"
symfony-cmf/RoutingAuto,"""php"":""^5.3.9|^7"
lqsun/php-login,"""php"":"">=5.3.7"
gevorggalstyan/php-salesforce-web-to-lead-form-parser,"""php"":""^5.3.3||^7"
comelyio/knit,"""php"":"">=7"
gummmibear/ze-config-manager,"""php"":"">=7"
ezsystems/ezpublish-spi,"""php"":""~5.6|~7"
yinfuyuan/clear,"""php"":"">=7"
AltThree/Segment,"""php"":""^7"
ncrousset/gencrud,"""php"":""^5.5.9||^7"
nikic/TypeUtil,"		""php"":"">=7"
scherersoftware/cake-frontend-bridge,"		""php"":""~7"
jimbras/bitnix-crypto,"""php"":"">=7"
tgalopin/cli,"""php"":""^5.3.9|^7"
asgrim/ofxparser,"""php"":""~5.6|~7"
WyriHaximus/reactphp-psr-3-loggly,"""php"":""^7"
sonata-project/exporter,"""php"":""^5.3||^7"
adamturcsan/zftools,"""php"":""^7"
USF-IT/AuthTransferLib,"""php"":"">=7"
svenluijten/env-providers,"""php"":""^5.5.9||^7"
magnxpyr/cms,"""php"":"">=7"
OpenConext/Stepup-Middleware,"""php"":""^5.6|^7"
dwoo-project/symfonybundle,"""php"":""~5.5|~7"
wandersonwhcr/romans,"""php"":""^7"
HonzaMikula/masivnipostele,"""php"":""^5.5.9||^7"
alekitto/FazlandElasticaBundle,"""php"":""^7"
piranapool/pp-apigility,"""php"":""^5.6||^7"
egeloen/ivory-json-builder,"""php"":""^5.6|^7"
webservices-nl/common,"""php"":""^5.4||^7"
SlaxWeb/Database-PDO,"""php"":"">=7"
Raphy/RaphyMarkdownBundle,"""php"":""^5.5|^7"
masarakki/phpunit,"""php"":""^5.6||^7"
WindomZ/coupon-plugin,"""php"":"">=7"
josephdpurcell/symfony,"""php"":""^7"
Th3Mouk/CMSStarter,"""php"":""^5.5.9|^7"
commnerd/CompanyFaces,"""php"":"">=7"
paragonie/seedspring,"""php"":""^5.6.0|^7"
fijma/mu,"""php"":"">=7"
ucsdmath/Testing,"""php"":"">=7"
GrowthOptimized/Optimizely-SDK,"""php"":"">=7"
acelaya/ZF-AcMailer,"""php"":""^5.6|^7"
ForceLabsDev/framework,"""php"":"">=7"
elcodi/MetricBundle,"""php"":""^5.4|^7"
magroski/frogg,"""php"":""^7"
WyriHaximus/cakephp-async-orm,"""php"":""^5.5||^7"
martinezdelariva/functional,"""php"":"">=7"
payment247/sdk,"""php"":""~5.6|~7"
pounard/goat,"""php"":"">=7"
dayrev/summarizer,"""php"":""^7"
