date,currency
08-2011,0.0361
09-2011,0.0339
10-2011,0.0311
11-2011,0.0329
12-2011,0.0319
01-2012,0.0311
02-2012,0.0332
03-2012,0.0344
04-2012,0.0341
05-2012,0.034
06-2012,0.0299
07-2012,0.0308
08-2012,0.0307
09-2012,0.0309
10-2012,0.0322
11-2012,0.0318
12-2012,0.0326
01-2013,0.033
02-2013,0.0333
03-2013,0.0326
04-2013,0.0317
05-2013,0.0322
06-2013,0.0314
07-2013,0.0305
08-2013,0.0304
09-2013,0.03
10-2013,0.0311
11-2013,0.0308
12-2013,0.0305
01-2014,0.03
02-2014,0.0288
03-2014,0.0274
04-2014,0.0285
05-2014,0.0279
06-2014,0.0287
07-2014,0.0292
08-2014,0.028
09-2014,0.027
10-2014,0.025
11-2014,0.0232
12-2014,0.0185
01-2015,0.017
02-2015,0.0143
03-2015,0.0162
04-2015,0.0173
05-2015,0.0193
06-2015,0.0187
07-2015,0.0179
08-2015,0.0163
09-2015,0.015
10-2015,0.0152
11-2015,0.0156
12-2015,0.015
01-2016,0.0137
02-2016,0.013
03-2016,0.0136
04-2016,0.0148
05-2016,0.0153
06-2016,0.0149
07-2016,0.0157
08-2016,0.015
09-2016,0.0152
10-2016,0.0159
11-2016,0.0158
12-2016,0.0156
01-2017,0.0163
02-2017,0.0166
03-2017,0.0172
04-2017,0.0178
05-2017,0.0176
